57,2	0,0285	50,5	NAN
57,3	0,039	49	NAN
57,4	0,045	46	NAN
57,5	0,0465	44	NAN
57,6	0,0495	42	NAN
57,7	0,054	40,5	NAN
57,8	0,0735	35,5	NAN
57,9	0,078	30,5	NAN
58	0,0825	27,5	NAN
58,1	0,0975	23	NAN
58,2	0,108	16	NAN
58,3	0,108	14	NAN
58,4	0,108	13	NAN
58,5	0,108	12,5	NAN
58,6	0,108	12,5	NAN
58,7	0,1095	12	NAN
58,8	0,108	11,5	NAN
58,9	0,1095	11	NAN
59	0,111	11	NAN
59,1	0,123	8,5	NAN
59,2	0,1275	6	NAN
59,3	0,132	4	NAN
59,4	0,135	1	NAN
59,5	0,1395	-1	NAN
59,6	0,1425	-2	NAN
59,7	0,15	-5,5	NAN
59,8	0,15	-6,5	NAN
59,9	0,1485	-7	NAN
60	0,15	-7,5	NAN
60,1	0,15	-7,5	NAN
60,2	0,15	-8	NAN
60,3	0,1485	-8	NAN
60,4	0,1515	-8	NAN
60,5	0,1545	-9	NAN
60,6	0,1575	-10	NAN
60,7	0,1575	-10,5	NAN
60,8	0,159	-11	NAN
60,9	0,174	-15	NAN
61	0,1815	-20	NAN
61,1	0,1965	-25,5	NAN
61,2	0,2175	-34	NAN
61,3	0,24	-45	NAN
61,4	0,276	-59	NAN
61,5	0,2895	-68	NAN
61,6	0,294	-73	NAN
61,7	0,321	-82,5	NAN
61,8	0,3495	-95	NAN
61,9	0,36	-102	NAN
62	0,3615	-105	NAN
62,1	0,3645	-107,5	NAN
62,2	0,372	-110,5	NAN
62,3	0,39	-116,5	NAN
62,4	0,402	-122,5	NAN
62,5	0,42	-130,5	NAN
62,6	0,489	-154,5	NAN
62,7	0,513	-169,5	NAN
62,8	0,528	-178	NAN
62,9	0,546	-187	NAN
63	0,579	-198,5	NAN
63,1	0,5985	-210	NAN
63,2	0,612	-218	NAN
63,3	0,63	-225	NAN
63,4	0,6555	-235,5	NAN
63,5	0,684	-248	NAN
63,6	0,7035	-258	NAN
63,7	0,7365	-270,5	NAN
63,8	0,7605	-280,5	NAN
63,9	0,795	-296	NAN
64	0,8385	-313	NAN
64,1	0,897	-336	NAN
64,2	0,9195	-349	NAN
64,3	0,936	-358,5	NAN
64,4	0,9915	-376,5	NAN
64,5	1,038	-393,5	NAN
64,6	1,071	-411	NAN
64,7	1,1055	-424	NAN
64,8	1,161	-443	NAN
64,9	1,1835	-456	NAN
65	1,209	-467,5	NAN
65,1	1,251	-482	NAN
65,2	1,302	-498,5	NAN
65,3	1,356	-517,5	NAN
65,4	1,392	-533,5	NAN
65,501	1,4205	-545,5	NAN
65,601	1,4715	-561	NAN
